Strike,a_true,a_A,a_B,a_C,a_D,a_BD
600,0.1500,0.1493,0.1500,0.1519,0.1378,0.1245
700,0.1500,0.1498,0.1503,0.1491,0.1386,0.1753
800,0.1500,0.1504,0.1499,0.1503,0.1364,0.1417
900,0.1500,0.1494,0.1499,0.1514,0.1372,0.1589
1000,0.1500,0.1499,0.1499,0.1515,0.1490,0.1455
1100,0.1500,0.1498,0.1500,0.1511,0.1581,0.1464
1200,0.1500,0.1496,0.1500,0.1502,0.1461,0.1595
1300,0.1500,0.1507,0.1502,0.1491,0.1506,0.1397
1400,0.1500,0.1497,0.1498,0.1504,0.1489,0.1522
1500,0.1500,0.1497,0.1502,0.1507,0.1465,0.1587
1600,0.1500,0.1508,0.1501,0.1491,0.1543,0.1500
1700,0.1500,0.1501,0.1496,0.1499,0.1496,0.1449
1800,0.1500,0.1487,0.1504,0.1511,0.1461,0.1463
